"","site","PFT","Lat","Lon","model","R2","RMSE","RPE"
"107","DE-Tha","ENF","50.9626","13.5651","SVM","0.907286686801607","1.35737782430704","-0.0157470908244351"
"108","DE-Tha","ENF","50.9626","13.5651","BMA","0.881348898747794","1.5267163569716","0.000207255189527833"
"109","DK-Sor","DBF","55.4859","11.6446","VPM","0.825852691874276","2.6760143246768","-0.22534343511422"
"110","DK-Sor","DBF","55.4859","11.6446","GLO_PEM","0.827986941840814","2.68828873159265","-0.221106717857461"
"111","DK-Sor","DBF","55.4859","11.6446","EC_LUE","0.816712242923684","2.92410461814846","-0.283439255604247"
"112","DK-Sor","DBF","55.4859","11.6446","CHJ","0.657593423872134","7.04263970418918","1.11601236474562"
"113","DK-Sor","DBF","55.4859","11.6446","C_Fix","0.781631745526062","3.02564896533827","0.00371633841680664"
"114","DK-Sor","DBF","55.4859","11.6446","MODIS","0.824156788585434","3.48959025794203","-0.316665723710599"
"115","DK-Sor","DBF","55.4859","11.6446","RF","0.92586849594425","1.55458457999965","-0.00286050884601359"
"116","DK-Sor","DBF","55.4859","11.6446","SVM","0.9293613613461","1.51691601589397","-0.00981486583570852"
"117","DK-Sor","DBF","55.4859","11.6446","BMA","0.88777105607129","1.9108708785421","0.000167945263706006"
"118","ES-LJu","OSH","36.9266","-2.7521","VPM","0.0332511112751826","2.20323654766848","3.11636570677069"
"119","ES-LJu","OSH","36.9266","-2.7521","GLO_PEM","0.0478910750795056","1.4323226601265","1.99518152572024"
"120","ES-LJu","OSH","36.9266","-2.7521","EC_LUE","0.324901577787488","0.895263811616703","1.27533525572954"
"121","ES-LJu","OSH","36.9266","-2.7521","CHJ","0.000227530404326319","1.3407386713022","2.11107764824883"
"122","ES-LJu","OSH","36.9266","-2.7521","C_Fix","0.0413920808670577","3.62516044125641","6.13552336694271"
"123","ES-LJu","OSH","36.9266","-2.7521","MODIS","0.311702055593853","1.06739089635185","2.04197358399388"
"124","ES-LJu","OSH","36.9266","-2.7521","RF","0.555743153221337","0.404692346371851","-0.00201627153439541"
"125","ES-LJu","OSH","36.9266","-2.7521","SVM","0.592083923214227","0.388226219275293","-0.0499285429110223"
"126","ES-LJu","OSH","36.9266","-2.7521","BMA","0.513177676111071","0.423382737690043","0.00140413068020228"
"127","FI-Hyy","ENF","61.8474","24.2948","VPM","0.77981214430285","2.35212561466869","0.0801871595540479"
"128","FI-Hyy","ENF","61.8474","24.2948","GLO_PEM","0.818952517169409","1.85255891721929","-0.000765604868062236"
"129","FI-Hyy","ENF","61.8474","24.2948","EC_LUE","0.864838893125021","1.3521470220067","-0.0959675566240741"
"130","FI-Hyy","ENF","61.8474","24.2948","CHJ","0.74750027207522","3.16977121859107","0.677884942553768"
"131","FI-Hyy","ENF","61.8474","24.2948","C_Fix","0.720949028029428","4.23270057060347","0.452310272543307"
"132","FI-Hyy","ENF","61.8474","24.2948","MODIS","0.788700487946126","1.57525979832928","0.0363049913209928"
"133","FI-Hyy","ENF","61.8474","24.2948","RF","0.924494864443724","0.93242336179182","0.00219366328251982"
"134","FI-Hyy","ENF","61.8474","24.2948","SVM","0.927740052610922","0.915401360749216","-0.00319557070863186"
"135","FI-Hyy","ENF","61.8474","24.2948","BMA","0.902563414156206","1.05945315102797","0.000112002903853666"
"136","FI-Sod","ENF","67.3624","26.6386","VPM","0.736815850962607","1.35995263802767","-0.438425664050629"
"137","FI-Sod","ENF","67.3624","26.6386","GLO_PEM","0.790768010712041","1.10123167185455","-0.286329552189663"
"138","FI-Sod","ENF","67.3624","26.6386","EC_LUE","0.777510448866999","1.3020239185508","-0.410561562423408"
"139","FI-Sod","ENF","67.3624","26.6386","CHJ","0.804146362052907","1.10829398708852","0.25088417128839"
"140","FI-Sod","ENF","67.3624","26.6386","C_Fix","0.699796325699866","1.43982679206456","-0.0850310309595441"
"141","FI-Sod","ENF","67.3624","26.6386","MODIS","0.757333367973508","1.2371171168953","-0.295386616569224"
"142","FI-Sod","ENF","67.3624","26.6386","RF","0.927010724727678","0.590182753601122","0.00119970004110968"
"143","FI-Sod","ENF","67.3624","26.6386","SVM","0.928504461242367","0.585030161511305","-0.0183750076928809"
"144","FI-Sod","ENF","67.3624","26.6386","BMA","0.881954383296419","0.749923862058918","0.000350864099504805"
"145","FR-Fon","DBF","48.4764","2.7801","VPM","0.791392975603686","2.71277608160132","0.108835511896461"
"146","FR-Fon","DBF","48.4764","2.7801","GLO_PEM","0.814152991344225","2.29203546427813","0.0933560729958113"
"147","FR-Fon","DBF","48.4764","2.7801","EC_LUE","0.840892954133809","2.23562129263314","0.103744495750249"
"148","FR-Fon","DBF","48.4764","2.7801","CHJ","0.644197469471358","7.68686224224674","1.38130929759903"
"149","FR-Fon","DBF","48.4764","2.7801","C_Fix","0.73884896270502","4.44547097810445","0.418321915749037"
"150","FR-Fon","DBF","48.4764","2.7801","MODIS","0.813714483105374","2.2149919938321","-0.0657017606876794"
"151","FR-Fon","DBF","48.4764","2.7801","RF","0.908341823803691","1.49152514570214","0.00140567450784681"
"152","FR-Fon","DBF","48.4764","2.7801","SVM","0.911799663031356","1.46669404023058","-0.0201411609481302"
"153","FR-Fon","DBF","48.4764","2.7801","BMA","0.870819438655669","1.77013024848686","0.00104389584167125"
"154","FR-Gri","CRO","48.8442","1.9519","VPM","0.491928774718082","3.85944485867204","-0.357475508233793"
"155","FR-Gri","CRO","48.8442","1.9519","GLO_PEM","0.57275974150089","3.63676084234359","-0.323034291515029"
"156","FR-Gri","CRO","48.8442","1.9519","EC_LUE","0.631316898970491","3.26597600587041","-0.255411501770523"
"157","FR-Gri","CRO","48.8442","1.9519","CHJ","0.292336636129129","7.47262202986832","1.45014192596514"
"158","FR-Gri","CRO","48.8442","1.9519","C_Fix","0.470941140373395","3.97829738494409","0.133134150970038"
"159","FR-Gri","CRO","48.8442","1.9519","MODIS","0.533452402035336","3.98339805709111","-0.372686910910243"
"160","FR-Gri","CRO","48.8442","1.9519","RF","0.735002003370261","2.57843827156842","0.00263923726940852"
"161","FR-Gri","CRO","48.8442","1.9519","SVM","0.725967221194936","2.62819177158963","-0.0299782116596582"
